id,color_count,object1,color1,object2,color2,object3,color3,prompt
264,2,coat,light slate gray,hat,medium slate blue,,,A light slate gray coat hanging next to a medium slate blue hat on the hook.
265,2,strawberry,magenta,lemon,blue violet,,,A magenta strawberry next to a blue violet lemon on a plate.
266,2,elephant,orchid,bear,purple,,,A orchid elephant near a purple bear in the wild.
267,3,teddybear,dark orchid,balloon,sea shell,football helmet,honey dew,A dark orchid teddybear with a sea shell balloon next to a honey dew football helmet.
268,2,hat,ghost white,suitcase,floral white,,,A ghost white hat resting on a floral white suitcase.
269,2,minivan,dark gray,bicycle,dim gray,,,A dark gray minivan parked beside a dim gray bicycle in the driveway.
270,2,snowboard,thistle,skis,black,,,A thistle snowboard resting against black skis by the cabin.
271,2,carrot,cornsilk,broccoli,light blue,,,A cornsilk carrot and a light blue broccoli on a cutting board.
272,3,couch,cyan,table,crimson,vase,bisque,A cyan couch with a crimson table and a bisque vase in the living room.
273,3,boat,light yellow,jeep,wheat,airplane,sienna,"A light yellow boat, a wheat jeep, and a sienna airplane at the lakeside."
274,2,sheep,burly wood,horse,papaya whip,,,A burly wood sheep grazing next to a papaya whip horse in the meadow.
275,2,pillow,brown,curtain,navajo white,,,A brown pillow on the bed near a navajo white curtain by the window.
276,2,skateboard,rosy brown,frisbee,orange,,,A rosy brown skateboard beside a orange frisbee on the grass.
277,2,tie,dark golden rod,suit,orange red,,,A dark golden rod tie draped over a orange red suit in the closet.
278,2,baseball bat,khaki,golf ball,chartreuse,,,A khaki baseball bat next to a chartreuse golf ball on the floor.
279,2,refrigerator,yellow green,oven,dark sea green,,,A yellow green refrigerator beside a dark sea green oven in the kitchen.
280,3,dog,pale green,cat,dark slate grey,horse,medium sea green,A pale green dog next to a dark slate grey cat and a medium sea green horse in the yard.
281,2,duck,pale turquoise,cow,aqua,,,A pale turquoise duck swimming near a aqua cow by the pond.
282,2,clock,medium spring green,candle,dark slate gray,,,A medium spring green clock beside a dark slate gray candle on the mantle.
283,2,backpack,powder blue,bicycle,sky blue,,,A powder blue backpack hanging on a sky blue bicycle.
284,3,papaya,medium blue,guava,light slate gray,carrot,medium slate blue,"A medium blue papaya, a light slate gray guava, and a medium slate blue carrot on the table."
285,3,surfboard,magenta,kite,blue violet,frisbee,orchid,"A magenta surfboard, a blue violet kite, and a orchid frisbee on the beach."
286,2,knife,purple,cutting board,dark orchid,,,A purple knife on a dark orchid cutting board in the kitchen.
287,2,umbrella,sea shell,car,honey dew,,,A sea shell umbrella leaning against a honey dew car.
288,2,remote,ghost white,computer mouse,floral white,,,A ghost white remote beside a floral white computer mouse on the desk.
289,3,remote,dark gray,computer mouse,dim gray,fan,thistle,"A dark gray remote, a dim gray computer mouse, and a thistle fan on the desk."
290,3,wardrobe,black,bookcase,cornsilk,desk,light blue,A black wardrobe beside a cornsilk bookcase and a light blue desk in the room.
291,3,broccoli,cyan,orange,crimson,apple,bisque,A cyan broccoli beside a crimson orange and a bisque apple on the counter.
292,2,backpack,light yellow,umbrella,wheat,,,A light yellow backpack leaning against a wheat umbrella by the door.
293,2,boat,sienna,jeep,burly wood,,,A sienna boat docked near a burly wood jeep at the marina.
294,2,socks,papaya whip,towel,brown,,,A papaya whip socks next to a brown towel on the dresser.
295,3,chair,navajo white,desk,rosy brown,bookcase,orange,"A navajo white chair, a rosy brown desk, and a orange bookcase in the office."
296,2,T-shirt,dark golden rod,jeans,orange red,,,A dark golden rod T-shirt and orange red jeans folded on the bed.
297,2,teddybear,khaki,balloon,chartreuse,,,A khaki teddybear holding a chartreuse balloon on the bed.
298,3,strawberry,yellow green,mango,dark sea green,lemon,pale green,"A yellow green strawberry, a dark sea green mango, and a pale green lemon on a plate."
299,2,surfboard,dark slate grey,kite,medium sea green,,,A dark slate grey surfboard leaning near a medium sea green kite on the beach.
300,2,sports ball,pale turquoise,baseball glove,aqua,,,A pale turquoise sports ball next to a aqua baseball glove on the bench.
301,3,hat,medium spring green,suitcase,dark slate gray,umbrella,powder blue,"A medium spring green hat, a dark slate gray suitcase, and a powder blue umbrella at the entrance."
302,2,microwave,sky blue,toaster,medium blue,,,A sky blue microwave next to a medium blue toaster on the counter.
303,3,backpack,light slate gray,umbrella,medium slate blue,suitcase,magenta,"A light slate gray backpack, a medium slate blue umbrella, and a magenta suitcase by the door."
304,2,dog,blue violet,cat,orchid,,,A blue violet dog sitting beside a orchid cat on the floor.
305,2,sweatshirt,purple,pants,dark orchid,,,A purple sweatshirt folded beside dark orchid pants on the shelf.
306,2,vase,sea shell,clock,honey dew,,,A sea shell vase next to a honey dew clock on the shelf.
307,2,owl,ghost white,cat,floral white,,,A ghost white owl perched above a floral white cat at night.
308,3,bicycle,dark gray,motorcycle,dim gray,airplane,thistle,"A dark gray bicycle, a dim gray motorcycle, and a thistle airplane at the airport."
309,3,cow,black,sheep,cornsilk,elephant,light blue,"A black cow, a cornsilk sheep, and a light blue elephant at the zoo."
310,2,fan,cyan,sponge,crimson,,,A cyan fan beside a crimson sponge on the shelf.
311,2,airplane,bisque,truck,light yellow,,,A bisque airplane flying above a light yellow truck on the runway.
312,2,handbag,wheat,suitcase,sienna,,,A wheat handbag placed on a sienna suitcase at the airport.
313,3,mug,burly wood,teapot,papaya whip,candle,brown,"A burly wood mug, a papaya whip teapot, and a brown candle on the dining table."
314,2,mango,navajo white,papaya,rosy brown,,,A navajo white mango and a rosy brown papaya in a fruit bowl.
315,2,turtle,orange,crocodile,dark golden rod,,,A orange turtle resting near a dark golden rod crocodile by the river.
316,2,wallet,orange red,tie,khaki,,,A orange red wallet beside a khaki tie on the table.
317,2,hammer,chartreuse,wrench,yellow green,,,A chartreuse hammer next to a yellow green wrench on the workbench.
318,2,table,dark sea green,wardrobe,pale green,,,A dark sea green table beside a pale green wardrobe in the bedroom.
319,3,T-shirt,dark slate grey,jeans,medium sea green,socks,pale turquoise,"A dark slate grey T-shirt, medium sea green jeans, and pale turquoise socks on the bed."
320,2,mug,aqua,teapot,medium spring green,,,A aqua mug beside a medium spring green teapot on the table.
321,2,car,dark slate gray,bus,powder blue,,,A dark slate gray car parked near a powder blue bus on the street.
322,2,bicycle,sky blue,motorcycle,medium blue,,,A sky blue bicycle next to a medium blue motorcycle in the garage.
323,3,banana,light slate gray,apple,medium slate blue,orange,magenta,"A light slate gray banana, a medium slate blue apple, and a magenta orange in a fruit bowl."
324,2,hair dryer,blue violet,iron,orchid,,,A blue violet hair dryer next to an orchid iron on the bathroom counter.
325,3,clock,purple,vase,dark orchid,book,sea shell,"A purple clock, a dark orchid vase, and a sea shell book on the shelf."
326,2,taxi,honey dew,bus,ghost white,,,A honey dew taxi and a ghost white bus at the station.
327,3,microwave,floral white,toaster,dark gray,refrigerator,dim gray,"A floral white microwave, a dark gray toaster, and a dim gray refrigerator in the kitchen."
328,2,couch,thistle,bookcase,black,,,A thistle couch facing a black bookcase in the living room.
329,3,pillow,cornsilk,curtain,light blue,clock,cyan,"A cornsilk pillow on the bed, a light blue curtain by the window, and a cyan clock on the wall."
330,2,football helmet,crimson,boxing glove,bisque,,,A crimson football helmet beside a bisque boxing glove on the shelf.
331,2,chair,light yellow,desk,wheat,,,A light yellow chair and a wheat desk in a sunlit room.
332,2,banana,sienna,apple,burly wood,,,A sienna banana and a burly wood apple on a wooden table.
333,3,backpack,papaya whip,bicycle,brown,umbrella,navajo white,A papaya whip backpack on a brown bicycle next to a navajo white umbrella.
334,2,book,rosy brown,mug,orange,,,A rosy brown book next to a orange mug on the coffee table.
335,3,hammer,dark golden rod,wrench,orange red,saw,khaki,"A dark golden rod hammer, a orange red wrench, and a khaki saw on the workbench."
336,2,ruler,chartreuse,saw,yellow green,,,A chartreuse ruler next to a yellow green saw on the workshop table.
337,2,candle,dark sea green,book,pale green,,,A dark sea green candle next to a pale green book on the nightstand.
338,3,handbag,dark slate grey,wallet,medium sea green,hat,pale turquoise,A dark slate grey handbag with a medium sea green wallet and a pale turquoise hat on the table.
339,3,car,aqua,bus,medium spring green,truck,dark slate gray,A aqua car parked near a medium spring green bus and a dark slate gray truck on the street.
340,2,potted plant,powder blue,vase,sky blue,,,A powder blue potted plant beside a sky blue vase on the windowsill.
341,2,sink,medium blue,trash can,light slate gray,,,A medium blue sink beside a light slate gray trash can in the kitchen.
342,3,skateboard,medium slate blue,sports ball,magenta,baseball bat,blue violet,A medium slate blue skateboard beside a magenta sports ball and a blue violet baseball bat.
343,3,book,orchid,mug,purple,candle,dark orchid,"A orchid book, a purple mug, and a dark orchid candle on the coffee table."
344,2,orange,sea shell,guava,honey dew,,,A sea shell orange beside a honey dew guava on the kitchen counter.
345,2,lipstick,ghost white,handbag,floral white,,,A ghost white lipstick inside a floral white handbag on the vanity.
346,3,tie,dark gray,hat,dim gray,jacket,thistle,"A dark gray tie, a dim gray hat, and a thistle jacket on the bed."
347,2,sports car,black,truck,cornsilk,,,A black sports car next to a cornsilk truck in the parking lot.
348,3,bear,light blue,turtle,cyan,crocodile,crimson,A light blue bear near a cyan turtle and a crimson crocodile by the river.
349,2,horse,bisque,cow,light yellow,,,A bisque horse standing with a light yellow cow in the field.
350,2,parrot,wheat,dog,sienna,,,A wheat parrot perched near a sienna dog in the yard.
