id,color,object,prompt
583,dark slate gray,candle,A candle rendered in dark slate gray color.
584,dark slate gray,iron,A realistic iron in dark slate gray.
585,dark slate gray,socks,A single dark slate gray socks.
586,dark slate gray,elephant,A elephant with a dark slate gray color.
587,dark slate gray,mug,The mug is dark slate gray.
588,dark slate gray,boxing glove,A dark slate gray colored boxing glove.
589,dark slate gray,chair,A chair with a dark slate gray color.
590,dark slate gray,minivan,A minivan in a dark slate gray color.
591,dark slate gray,wardrobe,A single dark slate gray wardrobe.
592,dark slate gray,orange,A dark slate gray colored orange.
593,dark slate gray,pants,A pants with a dark slate gray color.
594,dark slate gray,teapot,A realistic teapot in dark slate gray.
595,dark slate gray,ruler,"A ruler, and it's dark slate gray."
596,dark slate gray,desk,A desk in a dark slate gray color.
597,dark slate gray,skateboard,A dark slate gray skateboard.
598,dark slate gray,snowboard,A snowboard rendered in dark slate gray color.
599,dark slate gray,bicycle,The bicycle is dark slate gray.
600,dark slate gray,apple,A apple that is entirely dark slate gray.
601,powder blue,boxing glove,A photo of a powder blue boxing glove.
602,powder blue,iron,A photo of a powder blue iron.
603,powder blue,microwave,A photo of a powder blue microwave.
604,powder blue,umbrella,The umbrella is powder blue.
605,powder blue,banana,A banana rendered in powder blue color.
606,powder blue,wardrobe,A single powder blue wardrobe.
607,powder blue,couch,A couch rendered in powder blue color.
608,powder blue,football helmet,A football helmet with a powder blue color.
609,powder blue,teapot,A teapot that is entirely powder blue.
610,powder blue,bear,"A bear, and it's powder blue."
611,powder blue,oven,A oven rendered in powder blue color.
612,powder blue,vehicle,A photo of a powder blue vehicle.
613,powder blue,bus,A bus that is entirely powder blue.
614,powder blue,remote,"A remote, and it's powder blue."
615,powder blue,orange,A orange with a powder blue color.
616,powder blue,elephant,An image of a powder blue elephant.
617,powder blue,cow,"A cow, and it's powder blue."
618,powder blue,desk,An image of a powder blue desk.
619,powder blue,suitcase,A suitcase with a powder blue color.
620,powder blue,apple,A powder blue apple.
621,powder blue,clock,"A clock, and it's powder blue."
622,powder blue,skateboard,An image of a powder blue skateboard.
623,powder blue,fan,A fan with a powder blue color.
624,powder blue,sponge,A sponge in a powder blue color.
625,powder blue,minivan,A photo of a powder blue minivan.
626,sky blue,apple,An image of a sky blue apple.
627,sky blue,teapot,A sky blue teapot.
628,sky blue,sports car,A sports car rendered in sky blue color.
629,sky blue,socks,A socks with a sky blue color.
630,sky blue,oven,A realistic oven in sky blue.
631,sky blue,boxing glove,A sky blue boxing glove.
632,sky blue,wardrobe,A wardrobe rendered in sky blue color.
633,sky blue,skateboard,A realistic skateboard in sky blue.
634,sky blue,desk,"A desk, and it's sky blue."
635,sky blue,snowboard,An image of a sky blue snowboard.
636,sky blue,tie,A tie that is entirely sky blue.
637,sky blue,mango,A mango rendered in sky blue color.
638,sky blue,candle,A sky blue colored candle.
639,sky blue,couch,A couch that is entirely sky blue.
640,sky blue,sports ball,A sports ball with a sky blue color.
641,sky blue,jeans,A jeans that is entirely sky blue.
642,sky blue,microwave,A microwave rendered in sky blue color.
643,sky blue,cow,An image of a sky blue cow.
644,sky blue,ruler,A ruler with a sky blue color.
645,sky blue,elephant,A realistic elephant in sky blue.
646,sky blue,iron,A iron with a sky blue color.
647,sky blue,papaya,A papaya with a sky blue color.
648,sky blue,bicycle,A photo of a sky blue bicycle.
649,sky blue,minivan,A minivan with a sky blue color.
650,sky blue,duck,The duck is sky blue.
651,medium blue,boxing glove,An image of a medium blue boxing glove.
652,medium blue,snowboard,A realistic snowboard in medium blue.
653,medium blue,bus,A medium blue colored bus.
654,medium blue,oven,The oven is medium blue.
655,medium blue,teapot,"A teapot, and it's medium blue."
656,medium blue,iron,The iron is medium blue.
657,medium blue,socks,A photo of a medium blue socks.
658,medium blue,taxi,A taxi that is entirely medium blue.
659,medium blue,chair,A chair with a medium blue color.
660,medium blue,banana,A realistic banana in medium blue.
661,medium blue,microwave,A microwave with a medium blue color.
662,medium blue,remote,A single medium blue remote.
663,medium blue,papaya,A papaya in a medium blue color.
664,medium blue,cow,A medium blue colored cow.
665,medium blue,tie,The tie is medium blue.
666,medium blue,apple,A single medium blue apple.
667,medium blue,guava,A medium blue guava.
668,medium blue,baseball bat,An image of a medium blue baseball bat.
669,medium blue,crocodile,A crocodile in a medium blue color.
670,medium blue,skateboard,The skateboard is medium blue.
671,medium blue,duck,"A duck, and it's medium blue."
672,medium blue,football helmet,A medium blue colored football helmet.
673,medium blue,sweatshirt,A sweatshirt with a medium blue color.
674,medium blue,mango,A realistic mango in medium blue.
675,medium blue,sports ball,A sports ball with a medium blue color.
676,light slate gray,skateboard,A skateboard that is entirely light slate gray.
677,light slate gray,socks,A socks in a light slate gray color.
678,light slate gray,mango,A photo of a light slate gray mango.
679,light slate gray,boxing glove,A single light slate gray boxing glove.
680,light slate gray,taxi,"A taxi, and it's light slate gray."
681,light slate gray,couch,A light slate gray colored couch.
682,light slate gray,umbrella,A umbrella with a light slate gray color.
683,light slate gray,candle,A realistic candle in light slate gray.
684,light slate gray,vehicle,A realistic vehicle in light slate gray.
685,light slate gray,jeans,A jeans in a light slate gray color.
686,light slate gray,remote,A single light slate gray remote.
687,light slate gray,football helmet,A football helmet rendered in light slate gray color.
688,light slate gray,apple,A realistic apple in light slate gray.
689,light slate gray,desk,A realistic desk in light slate gray.
690,light slate gray,oven,A photo of a light slate gray oven.
691,light slate gray,sweatshirt,A single light slate gray sweatshirt.
692,light slate gray,suitcase,A suitcase with a light slate gray color.
693,light slate gray,orange,The orange is light slate gray.
694,light slate gray,duck,"A duck, and it's light slate gray."
695,light slate gray,sponge,A sponge rendered in light slate gray color.
696,light slate gray,papaya,A single light slate gray papaya.
697,light slate gray,elephant,An image of a light slate gray elephant.
698,light slate gray,sports ball,A light slate gray sports ball.
699,light slate gray,teapot,A realistic teapot in light slate gray.
700,light slate gray,sports car,A light slate gray colored sports car.
701,medium slate blue,suitcase,A photo of a medium slate blue suitcase.
702,medium slate blue,teapot,A teapot rendered in medium slate blue color.
703,medium slate blue,sponge,A sponge that is entirely medium slate blue.
704,medium slate blue,sports ball,The sports ball is medium slate blue.
705,medium slate blue,taxi,A taxi in a medium slate blue color.
706,medium slate blue,couch,A couch that is entirely medium slate blue.
707,medium slate blue,snowboard,A snowboard rendered in medium slate blue color.
708,medium slate blue,parrot,A parrot that is entirely medium slate blue.
709,medium slate blue,sports car,A sports car that is entirely medium slate blue.
710,medium slate blue,orange,A medium slate blue colored orange.
711,medium slate blue,guava,A photo of a medium slate blue guava.
712,medium slate blue,baseball bat,A baseball bat rendered in medium slate blue color.
713,medium slate blue,tie,A medium slate blue tie.
714,medium slate blue,clock,An image of a medium slate blue clock.
715,medium slate blue,desk,A photo of a medium slate blue desk.
716,medium slate blue,bus,A photo of a medium slate blue bus.
717,medium slate blue,minivan,A minivan in a medium slate blue color.
718,medium slate blue,boxing glove,An image of a medium slate blue boxing glove.
719,medium slate blue,remote,A photo of a medium slate blue remote.
720,medium slate blue,wardrobe,The wardrobe is medium slate blue.
721,medium slate blue,oven,A oven with a medium slate blue color.
722,medium slate blue,bicycle,A medium slate blue bicycle.
723,medium slate blue,vehicle,A photo of a medium slate blue vehicle.
724,medium slate blue,bear,A medium slate blue bear.
725,medium slate blue,crocodile,A medium slate blue colored crocodile.
726,magenta,sports ball,An image of a magenta sports ball.
727,magenta,socks,"A socks, and it's magenta."
728,magenta,remote,A remote with a magenta color.
729,magenta,vehicle,A magenta vehicle.
730,magenta,cow,A magenta cow.
731,magenta,skateboard,"A skateboard, and it's magenta."
732,magenta,orange,A single magenta orange.
733,magenta,chair,A single magenta chair.
734,magenta,papaya,A papaya with a magenta color.
735,magenta,duck,The duck is magenta.
736,magenta,clock,"A clock, and it's magenta."
737,magenta,apple,A realistic apple in magenta.
738,magenta,candle,"A candle, and it's magenta."
739,magenta,teapot,The teapot is magenta.
740,magenta,taxi,The taxi is magenta.
741,magenta,boxing glove,A magenta colored boxing glove.
742,magenta,microwave,A microwave rendered in magenta color.
743,magenta,football helmet,A photo of a magenta football helmet.
744,magenta,umbrella,The umbrella is magenta.
745,magenta,sweatshirt,A photo of a magenta sweatshirt.
746,magenta,jeans,An image of a magenta jeans.
747,magenta,oven,A oven rendered in magenta color.
748,magenta,ruler,A ruler with a magenta color.
749,magenta,minivan,A minivan rendered in magenta color.
750,magenta,sponge,A sponge in a magenta color.
751,blue violet,fan,A blue violet colored fan.
752,blue violet,remote,A remote with a blue violet color.
753,blue violet,mango,An image of a blue violet mango.
754,blue violet,pants,A blue violet colored pants.
755,blue violet,duck,A photo of a blue violet duck.
756,blue violet,microwave,A microwave with a blue violet color.
757,blue violet,desk,"A desk, and it's blue violet."
758,blue violet,crocodile,The crocodile is blue violet.
759,blue violet,wardrobe,The wardrobe is blue violet.
760,blue violet,couch,The couch is blue violet.
761,blue violet,clock,The clock is blue violet.
762,blue violet,suitcase,A single blue violet suitcase.
763,blue violet,socks,The socks is blue violet.
764,blue violet,teapot,A realistic teapot in blue violet.
765,blue violet,umbrella,A realistic umbrella in blue violet.
766,blue violet,parrot,A blue violet colored parrot.
767,blue violet,bear,A photo of a blue violet bear.
768,blue violet,papaya,A papaya in a blue violet color.
769,blue violet,mug,A blue violet mug.
770,blue violet,tie,A tie rendered in blue violet color.
771,blue violet,candle,A candle in a blue violet color.
772,blue violet,taxi,A taxi in a blue violet color.
773,blue violet,orange,A blue violet colored orange.
774,blue violet,football helmet,A football helmet with a blue violet color.
775,blue violet,guava,The guava is blue violet.
776,orchid,papaya,A single orchid papaya.
777,orchid,sports car,A sports car in a orchid color.
778,orchid,ruler,A ruler rendered in orchid color.
779,orchid,wardrobe,A wardrobe rendered in orchid color.
780,orchid,orange,A orange with a orchid color.
781,orchid,microwave,A microwave with a orchid color.
782,orchid,pants,A pants in a orchid color.
783,orchid,oven,A orchid oven.
784,orchid,sponge,A sponge rendered in orchid color.
785,orchid,couch,A couch with a orchid color.
786,orchid,crocodile,A realistic crocodile in orchid.
787,orchid,suitcase,An image of a orchid suitcase.
788,orchid,elephant,A orchid elephant.
789,orchid,candle,A photo of a orchid candle.
790,orchid,umbrella,An image of a orchid umbrella.
791,orchid,iron,A realistic iron in orchid.
792,orchid,snowboard,An image of a orchid snowboard.
793,orchid,cow,A orchid colored cow.
794,orchid,jeans,A orchid colored jeans.
795,orchid,baseball bat,A orchid baseball bat.
796,orchid,teapot,A photo of a orchid teapot.
797,orchid,desk,A photo of a orchid desk.
798,orchid,chair,A chair rendered in orchid color.
799,orchid,boxing glove,A boxing glove with a orchid color.
800,orchid,clock,A single orchid clock.
801,purple,apple,The apple is purple.
802,purple,elephant,An image of a purple elephant.
803,purple,boxing glove,"A boxing glove, and it's purple."
804,purple,vehicle,A vehicle with a purple color.
805,purple,banana,A single purple banana.
806,purple,duck,"A duck, and it's purple."
807,purple,suitcase,A suitcase rendered in purple color.
808,purple,mango,"A mango, and it's purple."
809,purple,papaya,A single purple papaya.
810,purple,desk,An image of a purple desk.
811,purple,minivan,A minivan that is entirely purple.
812,purple,bear,A bear in a purple color.
813,purple,taxi,The taxi is purple.
814,purple,oven,A purple colored oven.
815,purple,remote,A single purple remote.
816,purple,pants,The pants is purple.
817,purple,microwave,An image of a purple microwave.
818,purple,crocodile,A crocodile with a purple color.
819,purple,bus,A bus with a purple color.
820,purple,ruler,A ruler rendered in purple color.
821,purple,fan,"A fan, and it's purple."
822,purple,snowboard,A snowboard in a purple color.
823,purple,teapot,A teapot with a purple color.
824,purple,socks,An image of a purple socks.
825,purple,jeans,A purple jeans.
826,dark orchid,umbrella,A umbrella with a dark orchid color.
827,dark orchid,guava,A dark orchid colored guava.
828,dark orchid,pants,The pants is dark orchid.
829,dark orchid,orange,A single dark orchid orange.
830,dark orchid,bicycle,A realistic bicycle in dark orchid.
831,dark orchid,suitcase,A dark orchid suitcase.
832,dark orchid,oven,A single dark orchid oven.
833,dark orchid,boxing glove,A dark orchid boxing glove.
834,dark orchid,chair,"A chair, and it's dark orchid."
835,dark orchid,skateboard,The skateboard is dark orchid.
836,dark orchid,microwave,A dark orchid colored microwave.
837,dark orchid,remote,A remote rendered in dark orchid color.
838,dark orchid,clock,A single dark orchid clock.
839,dark orchid,snowboard,A snowboard rendered in dark orchid color.
840,dark orchid,mug,A single dark orchid mug.
841,dark orchid,taxi,A realistic taxi in dark orchid.
842,dark orchid,iron,A iron with a dark orchid color.
843,dark orchid,banana,A single dark orchid banana.
844,dark orchid,apple,An image of a dark orchid apple.
845,dark orchid,tie,The tie is dark orchid.
846,dark orchid,baseball bat,A single dark orchid baseball bat.
847,dark orchid,sports car,A dark orchid sports car.
848,dark orchid,duck,A dark orchid colored duck.
849,dark orchid,sweatshirt,A photo of a dark orchid sweatshirt.
850,dark orchid,sponge,A sponge rendered in dark orchid color.
851,sea shell,desk,A desk that is entirely sea shell.
852,sea shell,sponge,A sea shell colored sponge.
853,sea shell,taxi,A sea shell colored taxi.
854,sea shell,banana,A realistic banana in sea shell.
855,sea shell,wardrobe,A wardrobe with a sea shell color.
856,sea shell,couch,A photo of a sea shell couch.
857,sea shell,sports ball,A sports ball that is entirely sea shell.
858,sea shell,snowboard,The snowboard is sea shell.
859,sea shell,socks,A photo of a sea shell socks.
860,sea shell,guava,An image of a sea shell guava.
861,sea shell,duck,A duck that is entirely sea shell.
862,sea shell,ruler,A photo of a sea shell ruler.
863,sea shell,sweatshirt,A sweatshirt rendered in sea shell color.
864,sea shell,oven,A photo of a sea shell oven.
865,sea shell,minivan,A minivan with a sea shell color.
866,sea shell,clock,The clock is sea shell.
867,sea shell,bear,A photo of a sea shell bear.
868,sea shell,mango,A mango with a sea shell color.
869,sea shell,parrot,"A parrot, and it's sea shell."
870,sea shell,bus,"A bus, and it's sea shell."
871,sea shell,skateboard,A skateboard rendered in sea shell color.
872,sea shell,remote,A remote rendered in sea shell color.
873,sea shell,orange,"A orange, and it's sea shell."
874,sea shell,jeans,A jeans with a sea shell color.
875,sea shell,sports car,A sports car rendered in sea shell color.
876,honey dew,snowboard,A snowboard with a honey dew color.
877,honey dew,boxing glove,The boxing glove is honey dew.
878,honey dew,football helmet,A football helmet rendered in honey dew color.
879,honey dew,remote,A remote rendered in honey dew color.
880,honey dew,sponge,A sponge in a honey dew color.
881,honey dew,ruler,A single honey dew ruler.
882,honey dew,elephant,"A elephant, and it's honey dew."
883,honey dew,teapot,A teapot rendered in honey dew color.
884,honey dew,apple,A apple in a honey dew color.
885,honey dew,candle,A realistic candle in honey dew.
886,honey dew,pants,A honey dew pants.
887,honey dew,oven,"A oven, and it's honey dew."
888,honey dew,baseball bat,A baseball bat rendered in honey dew color.
889,honey dew,orange,A orange with a honey dew color.
890,honey dew,sports car,A sports car that is entirely honey dew.
891,honey dew,skateboard,A honey dew colored skateboard.
892,honey dew,bus,A bus rendered in honey dew color.
893,honey dew,iron,"A iron, and it's honey dew."
894,honey dew,umbrella,A umbrella in a honey dew color.
895,honey dew,wardrobe,A photo of a honey dew wardrobe.
896,honey dew,vehicle,A honey dew vehicle.
897,honey dew,guava,"A guava, and it's honey dew."
898,honey dew,cow,The cow is honey dew.
899,honey dew,jeans,A honey dew colored jeans.
900,honey dew,desk,A realistic desk in honey dew.
901,ghost white,banana,A ghost white colored banana.
902,ghost white,crocodile,The crocodile is ghost white.
903,ghost white,snowboard,A snowboard in a ghost white color.
904,ghost white,cow,A cow with a ghost white color.
905,ghost white,bus,A single ghost white bus.
906,ghost white,sports ball,An image of a ghost white sports ball.
907,ghost white,teapot,An image of a ghost white teapot.
908,ghost white,football helmet,A realistic football helmet in ghost white.
909,ghost white,duck,A duck with a ghost white color.
910,ghost white,socks,A socks rendered in ghost white color.
911,ghost white,bear,A photo of a ghost white bear.
912,ghost white,taxi,A ghost white colored taxi.
913,ghost white,parrot,The parrot is ghost white.
914,ghost white,microwave,A microwave rendered in ghost white color.
915,ghost white,mango,A mango with a ghost white color.
916,ghost white,suitcase,A photo of a ghost white suitcase.
917,ghost white,mug,A ghost white colored mug.
918,ghost white,jeans,An image of a ghost white jeans.
919,ghost white,minivan,A minivan with a ghost white color.
920,ghost white,oven,A realistic oven in ghost white.
921,ghost white,vehicle,A vehicle with a ghost white color.
922,ghost white,remote,A single ghost white remote.
923,ghost white,desk,A photo of a ghost white desk.
924,ghost white,pants,A pants rendered in ghost white color.
925,ghost white,iron,A realistic iron in ghost white.
926,floral white,banana,An image of a floral white banana.
927,floral white,oven,The oven is floral white.
928,floral white,jeans,A jeans in a floral white color.
929,floral white,mango,A mango in a floral white color.
930,floral white,snowboard,A realistic snowboard in floral white.
931,floral white,minivan,A minivan in a floral white color.
932,floral white,chair,A floral white chair.
933,floral white,duck,A duck with a floral white color.
934,floral white,fan,A floral white colored fan.
935,floral white,wardrobe,A wardrobe rendered in floral white color.
936,floral white,crocodile,A photo of a floral white crocodile.
937,floral white,taxi,A taxi rendered in floral white color.
938,floral white,vehicle,A single floral white vehicle.
939,floral white,parrot,A photo of a floral white parrot.
940,floral white,sponge,A photo of a floral white sponge.
941,floral white,socks,A photo of a floral white socks.
942,floral white,couch,A realistic couch in floral white.
943,floral white,bear,A bear rendered in floral white color.
944,floral white,ruler,A photo of a floral white ruler.
945,floral white,sports ball,A realistic sports ball in floral white.
946,floral white,desk,"A desk, and it's floral white."
947,floral white,clock,A floral white clock.
948,floral white,apple,A single floral white apple.
949,floral white,iron,A floral white colored iron.
950,floral white,bus,A bus with a floral white color.
951,dark gray,sports ball,A dark gray sports ball.
952,dark gray,teapot,A teapot with a dark gray color.
953,dark gray,football helmet,"A football helmet, and it's dark gray."
954,dark gray,microwave,A dark gray colored microwave.
955,dark gray,sponge,A sponge in a dark gray color.
956,dark gray,umbrella,The umbrella is dark gray.
957,dark gray,parrot,A realistic parrot in dark gray.
958,dark gray,fan,A fan in a dark gray color.
959,dark gray,oven,The oven is dark gray.
960,dark gray,candle,An image of a dark gray candle.
961,dark gray,tie,The tie is dark gray.
962,dark gray,taxi,A photo of a dark gray taxi.
963,dark gray,snowboard,An image of a dark gray snowboard.
964,dark gray,desk,"A desk, and it's dark gray."
965,dark gray,ruler,A ruler in a dark gray color.
966,dark gray,mango,A photo of a dark gray mango.
967,dark gray,jeans,A single dark gray jeans.
968,dark gray,skateboard,The skateboard is dark gray.
969,dark gray,duck,A duck that is entirely dark gray.
970,dark gray,suitcase,"A suitcase, and it's dark gray."
971,dark gray,banana,A dark gray colored banana.
972,dark gray,couch,A dark gray couch.
973,dark gray,socks,A single dark gray socks.
974,dark gray,apple,A dark gray apple.
975,dark gray,chair,A single dark gray chair.
976,dim gray,crocodile,A crocodile rendered in dim gray color.
977,dim gray,taxi,A dim gray taxi.
978,dim gray,sports ball,The sports ball is dim gray.
979,dim gray,mango,A dim gray mango.
980,dim gray,banana,An image of a dim gray banana.
981,dim gray,sponge,A sponge that is entirely dim gray.
982,dim gray,umbrella,A photo of a dim gray umbrella.
983,dim gray,vehicle,A vehicle in a dim gray color.
984,dim gray,remote,A realistic remote in dim gray.
985,dim gray,couch,A couch rendered in dim gray color.
986,dim gray,minivan,A minivan in a dim gray color.
987,dim gray,elephant,A single dim gray elephant.
988,dim gray,chair,The chair is dim gray.
989,dim gray,bus,An image of a dim gray bus.
990,dim gray,microwave,A microwave that is entirely dim gray.
991,dim gray,desk,An image of a dim gray desk.
992,dim gray,papaya,The papaya is dim gray.
993,dim gray,iron,A dim gray iron.
994,dim gray,sports car,A sports car that is entirely dim gray.
995,dim gray,candle,A single dim gray candle.
996,dim gray,apple,A apple with a dim gray color.
997,dim gray,ruler,A ruler rendered in dim gray color.
998,dim gray,wardrobe,"A wardrobe, and it's dim gray."
999,dim gray,teapot,The teapot is dim gray.
1000,dim gray,football helmet,The football helmet is dim gray.
1001,thistle,mug,A mug in a thistle color.
1002,thistle,pants,A pants in a thistle color.
1003,thistle,parrot,A thistle parrot.
1004,thistle,vehicle,A single thistle vehicle.
1005,thistle,boxing glove,"A boxing glove, and it's thistle."
1006,thistle,crocodile,A thistle crocodile.
1007,thistle,sweatshirt,A sweatshirt with a thistle color.
1008,thistle,sports ball,A single thistle sports ball.
1009,thistle,elephant,A thistle colored elephant.
1010,thistle,microwave,An image of a thistle microwave.
1011,thistle,wardrobe,A realistic wardrobe in thistle.
1012,thistle,bicycle,A thistle bicycle.
1013,thistle,sports car,A thistle colored sports car.
1014,thistle,sponge,The sponge is thistle.
1015,thistle,papaya,A thistle colored papaya.
1016,thistle,banana,A banana that is entirely thistle.
1017,thistle,minivan,A realistic minivan in thistle.
1018,thistle,desk,A desk with a thistle color.
1019,thistle,bus,A bus with a thistle color.
1020,thistle,skateboard,The skateboard is thistle.
1021,thistle,cow,A cow rendered in thistle color.
1022,thistle,jeans,A realistic jeans in thistle.
1023,thistle,fan,A thistle colored fan.
1024,thistle,baseball bat,A photo of a thistle baseball bat.
1025,thistle,taxi,A thistle taxi.
1026,black,sports car,An image of a black sports car.
1027,black,parrot,A black parrot.
1028,black,minivan,A minivan with a black color.
1029,black,snowboard,A snowboard that is entirely black.
1030,black,cow,An image of a black cow.
1031,black,desk,A black colored desk.
1032,black,candle,A black candle.
1033,black,ruler,A ruler with a black color.
1034,black,chair,A black colored chair.
1035,black,apple,An image of a black apple.
1036,black,boxing glove,The boxing glove is black.
1037,black,bus,A black colored bus.
1038,black,microwave,A single black microwave.
1039,black,tie,A single black tie.
1040,black,sponge,A realistic sponge in black.
1041,black,guava,"A guava, and it's black."
1042,black,couch,A single black couch.
1043,black,teapot,A black colored teapot.
1044,black,vehicle,A photo of a black vehicle.
1045,black,bear,"A bear, and it's black."
1046,black,elephant,A realistic elephant in black.
1047,black,skateboard,"A skateboard, and it's black."
1048,black,crocodile,A black colored crocodile.
1049,black,baseball bat,A baseball bat in a black color.
1050,black,sports ball,An image of a black sports ball.
1051,cornsilk,banana,A banana rendered in cornsilk color.
1052,cornsilk,wardrobe,A single cornsilk wardrobe.
1053,cornsilk,fan,An image of a cornsilk fan.
1054,cornsilk,sponge,A sponge with a cornsilk color.
1055,cornsilk,pants,A cornsilk pants.
1056,cornsilk,cow,The cow is cornsilk.
1057,cornsilk,parrot,A parrot with a cornsilk color.
1058,cornsilk,microwave,A microwave with a cornsilk color.
1059,cornsilk,remote,A single cornsilk remote.
1060,cornsilk,couch,A cornsilk colored couch.
1061,cornsilk,iron,A iron in a cornsilk color.
1062,cornsilk,socks,A realistic socks in cornsilk.
1063,cornsilk,snowboard,A snowboard with a cornsilk color.
1064,cornsilk,oven,A photo of a cornsilk oven.
1065,cornsilk,teapot,A cornsilk teapot.
1066,cornsilk,crocodile,A photo of a cornsilk crocodile.
1067,cornsilk,sports car,A sports car rendered in cornsilk color.
1068,cornsilk,suitcase,A suitcase with a cornsilk color.
1069,cornsilk,jeans,"A jeans, and it's cornsilk."
1070,cornsilk,desk,A cornsilk desk.
1071,cornsilk,umbrella,A photo of a cornsilk umbrella.
1072,cornsilk,boxing glove,The boxing glove is cornsilk.
1073,cornsilk,guava,A guava that is entirely cornsilk.
1074,cornsilk,vehicle,A vehicle with a cornsilk color.
1075,cornsilk,mango,A cornsilk colored mango.
1076,light blue,taxi,A single light blue taxi.
1077,light blue,mango,A mango in a light blue color.
1078,light blue,sweatshirt,The sweatshirt is light blue.
1079,light blue,bus,An image of a light blue bus.
1080,light blue,pants,An image of a light blue pants.
1081,light blue,elephant,A realistic elephant in light blue.
1082,light blue,teapot,"A teapot, and it's light blue."
1083,light blue,fan,A fan that is entirely light blue.
1084,light blue,snowboard,A snowboard rendered in light blue color.
1085,light blue,football helmet,An image of a light blue football helmet.
1086,light blue,apple,A realistic apple in light blue.
1087,light blue,chair,"A chair, and it's light blue."
1088,light blue,duck,A duck that is entirely light blue.
1089,light blue,socks,The socks is light blue.
1090,light blue,guava,A photo of a light blue guava.
1091,light blue,bear,The bear is light blue.
1092,light blue,remote,"A remote, and it's light blue."
1093,light blue,parrot,A photo of a light blue parrot.
1094,light blue,clock,A realistic clock in light blue.
1095,light blue,orange,"A orange, and it's light blue."
1096,light blue,bicycle,The bicycle is light blue.
1097,light blue,crocodile,A crocodile with a light blue color.
1098,light blue,banana,A light blue colored banana.
1099,light blue,sports ball,A sports ball with a light blue color.
1100,light blue,skateboard,A light blue colored skateboard.
1101,cyan,fan,A fan rendered in cyan color.
1102,cyan,apple,The apple is cyan.
1103,cyan,jeans,The jeans is cyan.
1104,cyan,parrot,An image of a cyan parrot.
1105,cyan,microwave,A single cyan microwave.
1106,cyan,oven,A realistic oven in cyan.
1107,cyan,bear,A realistic bear in cyan.
1108,cyan,cow,"A cow, and it's cyan."
1109,cyan,taxi,A taxi in a cyan color.
1110,cyan,crocodile,A single cyan crocodile.
1111,cyan,umbrella,A single cyan umbrella.
1112,cyan,clock,A clock rendered in cyan color.
1113,cyan,tie,The tie is cyan.
1114,cyan,chair,A photo of a cyan chair.
1115,cyan,sports ball,A cyan colored sports ball.
1116,cyan,guava,A guava with a cyan color.
1117,cyan,mug,The mug is cyan.
1118,cyan,bicycle,"A bicycle, and it's cyan."
1119,cyan,pants,"A pants, and it's cyan."
1120,cyan,baseball bat,A baseball bat with a cyan color.
1121,cyan,snowboard,A snowboard in a cyan color.
1122,cyan,wardrobe,A cyan colored wardrobe.
1123,cyan,iron,A photo of a cyan iron.
1124,cyan,papaya,A papaya in a cyan color.
1125,cyan,sponge,A sponge with a cyan color.
