id,color,object,prompt
460,Vivid greenish yellow,jeans,A jeans that is entirely Vivid greenish yellow.
461,Vivid greenish yellow,microwave,The microwave is Vivid greenish yellow.
462,Vivid greenish yellow,boxing glove,A boxing glove in a Vivid greenish yellow color.
463,Vivid greenish yellow,mug,A single Vivid greenish yellow mug.
464,Vivid greenish yellow,couch,A couch rendered in Vivid greenish yellow color.
465,Vivid greenish yellow,ruler,A ruler rendered in Vivid greenish yellow color.
466,Vivid greenish yellow,sweatshirt,A sweatshirt rendered in Vivid greenish yellow color.
467,Vivid greenish yellow,elephant,A elephant that is entirely Vivid greenish yellow.
468,Vivid greenish yellow,sports ball,A sports ball in a Vivid greenish yellow color.
469,Vivid greenish yellow,teapot,A single Vivid greenish yellow teapot.
470,Vivid greenish yellow,umbrella,"A umbrella, and it's Vivid greenish yellow."
471,Vivid greenish yellow,bear,"A bear, and it's Vivid greenish yellow."
472,Vivid greenish yellow,banana,An image of a Vivid greenish yellow banana.
473,Vivid greenish yellow,vehicle,A vehicle rendered in Vivid greenish yellow color.
474,Vivid greenish yellow,snowboard,A single Vivid greenish yellow snowboard.
475,Vivid greenish yellow,wardrobe,An image of a Vivid greenish yellow wardrobe.
476,Vivid greenish yellow,socks,A socks rendered in Vivid greenish yellow color.
477,Vivid greenish yellow,pants,A pants rendered in Vivid greenish yellow color.
478,Vivid greenish yellow,tie,A Vivid greenish yellow tie.
479,Vivid greenish yellow,minivan,A minivan rendered in Vivid greenish yellow color.
480,Vivid greenish yellow,iron,A realistic iron in Vivid greenish yellow.
481,Light greenish yellow,couch,The couch is Light greenish yellow.
482,Light greenish yellow,suitcase,A suitcase in a Light greenish yellow color.
483,Light greenish yellow,boxing glove,A boxing glove that is entirely Light greenish yellow.
484,Light greenish yellow,sponge,A sponge with a Light greenish yellow color.
485,Light greenish yellow,skateboard,A photo of a Light greenish yellow skateboard.
486,Light greenish yellow,banana,An image of a Light greenish yellow banana.
487,Light greenish yellow,bear,A photo of a Light greenish yellow bear.
488,Light greenish yellow,sports ball,The sports ball is Light greenish yellow.
489,Light greenish yellow,cow,A Light greenish yellow cow.
490,Light greenish yellow,jeans,A photo of a Light greenish yellow jeans.
491,Light greenish yellow,apple,An image of a Light greenish yellow apple.
492,Light greenish yellow,football helmet,A football helmet rendered in Light greenish yellow color.
493,Light greenish yellow,bicycle,A realistic bicycle in Light greenish yellow.
494,Light greenish yellow,papaya,A papaya rendered in Light greenish yellow color.
495,Light greenish yellow,teapot,An image of a Light greenish yellow teapot.
496,Light greenish yellow,sports car,"A sports car, and it's Light greenish yellow."
497,Light greenish yellow,oven,The oven is Light greenish yellow.
498,Light greenish yellow,pants,"A pants, and it's Light greenish yellow."
499,Light greenish yellow,elephant,A realistic elephant in Light greenish yellow.
500,Light greenish yellow,vehicle,An image of a Light greenish yellow vehicle.
501,Light greenish yellow,clock,A realistic clock in Light greenish yellow.
502,Light greenish yellow,wardrobe,A single Light greenish yellow wardrobe.
503,Light greenish yellow,candle,An image of a Light greenish yellow candle.
504,Light greenish yellow,mango,A mango in a Light greenish yellow color.
505,Light greenish yellow,umbrella,A umbrella in a Light greenish yellow color.
506,Light greenish yellow,bus,"A bus, and it's Light greenish yellow."
507,Light greenish yellow,guava,"A guava, and it's Light greenish yellow."
508,Light greenish yellow,chair,The chair is Light greenish yellow.
509,Light greenish yellow,fan,A fan rendered in Light greenish yellow color.
510,Light greenish yellow,ruler,A Light greenish yellow ruler.
511,Grayish greenish yellow,wardrobe,A Grayish greenish yellow colored wardrobe.
512,Grayish greenish yellow,remote,A single Grayish greenish yellow remote.
513,Grayish greenish yellow,pants,A realistic pants in Grayish greenish yellow.
514,Grayish greenish yellow,skateboard,"A skateboard, and it's Grayish greenish yellow."
515,Grayish greenish yellow,vehicle,An image of a Grayish greenish yellow vehicle.
516,Grayish greenish yellow,banana,A banana with a Grayish greenish yellow color.
517,Grayish greenish yellow,umbrella,A single Grayish greenish yellow umbrella.
518,Grayish greenish yellow,sweatshirt,A sweatshirt in a Grayish greenish yellow color.
519,Grayish greenish yellow,socks,A Grayish greenish yellow socks.
520,Grayish greenish yellow,snowboard,"A snowboard, and it's Grayish greenish yellow."
521,Grayish greenish yellow,baseball bat,The baseball bat is Grayish greenish yellow.
522,Grayish greenish yellow,bus,A Grayish greenish yellow colored bus.
523,Grayish greenish yellow,cow,An image of a Grayish greenish yellow cow.
524,Grayish greenish yellow,candle,A Grayish greenish yellow colored candle.
525,Grayish greenish yellow,teapot,The teapot is Grayish greenish yellow.
526,Grayish greenish yellow,desk,A single Grayish greenish yellow desk.
527,Grayish greenish yellow,chair,A chair in a Grayish greenish yellow color.
528,Grayish greenish yellow,boxing glove,A Grayish greenish yellow boxing glove.
529,Grayish greenish yellow,microwave,A microwave with a Grayish greenish yellow color.
530,Grayish greenish yellow,suitcase,A suitcase in a Grayish greenish yellow color.
531,Grayish greenish yellow,sponge,"A sponge, and it's Grayish greenish yellow."
532,Grayish greenish yellow,sports ball,A single Grayish greenish yellow sports ball.
533,Grayish greenish yellow,parrot,A Grayish greenish yellow parrot.
534,Grayish greenish yellow,mango,A mango that is entirely Grayish greenish yellow.
535,Grayish greenish yellow,duck,A duck in a Grayish greenish yellow color.
536,Grayish greenish yellow,papaya,A Grayish greenish yellow colored papaya.
537,Grayish greenish yellow,bear,A bear rendered in Grayish greenish yellow color.
538,Grayish greenish yellow,oven,"A oven, and it's Grayish greenish yellow."
539,Grayish greenish yellow,orange,A orange with a Grayish greenish yellow color.
540,Grayish greenish yellow,mug,"A mug, and it's Grayish greenish yellow."
541,Grayish olive,orange,A orange that is entirely Grayish olive.
542,Grayish olive,suitcase,"A suitcase, and it's Grayish olive."
543,Grayish olive,baseball bat,A baseball bat in a Grayish olive color.
544,Grayish olive,jeans,A photo of a Grayish olive jeans.
545,Grayish olive,chair,A single Grayish olive chair.
546,Grayish olive,microwave,A microwave that is entirely Grayish olive.
547,Grayish olive,teapot,A teapot rendered in Grayish olive color.
548,Grayish olive,mug,A mug in a Grayish olive color.
549,Grayish olive,clock,A realistic clock in Grayish olive.
550,Grayish olive,vehicle,A photo of a Grayish olive vehicle.
551,Grayish olive,sports ball,The sports ball is Grayish olive.
552,Grayish olive,bear,An image of a Grayish olive bear.
553,Grayish olive,oven,A single Grayish olive oven.
554,Grayish olive,bicycle,A Grayish olive colored bicycle.
555,Grayish olive,papaya,A papaya in a Grayish olive color.
556,Grayish olive,bus,An image of a Grayish olive bus.
557,Grayish olive,socks,A Grayish olive socks.
558,Grayish olive,pants,An image of a Grayish olive pants.
559,Grayish olive,fan,A realistic fan in Grayish olive.
560,Grayish olive,umbrella,An image of a Grayish olive umbrella.
561,Grayish olive,wardrobe,A wardrobe rendered in Grayish olive color.
562,Grayish olive,remote,A remote rendered in Grayish olive color.
563,Grayish olive,apple,A apple with a Grayish olive color.
564,Grayish olive,ruler,"A ruler, and it's Grayish olive."
565,Grayish olive,elephant,A photo of a Grayish olive elephant.
566,Grayish olive,skateboard,"A skateboard, and it's Grayish olive."
567,Grayish olive,snowboard,A snowboard in a Grayish olive color.
568,Grayish olive,sponge,"A sponge, and it's Grayish olive."
569,Grayish olive,sports car,A Grayish olive colored sports car.
570,Grayish olive,iron,A Grayish olive colored iron.
571,Dark grayish olive,jeans,A jeans in a Dark grayish olive color.
572,Dark grayish olive,parrot,"A parrot, and it's Dark grayish olive."
573,Dark grayish olive,mango,A Dark grayish olive mango.
574,Dark grayish olive,desk,A realistic desk in Dark grayish olive.
575,Dark grayish olive,remote,A photo of a Dark grayish olive remote.
576,Dark grayish olive,tie,A single Dark grayish olive tie.
577,Dark grayish olive,sports ball,A sports ball with a Dark grayish olive color.
578,Dark grayish olive,sweatshirt,A photo of a Dark grayish olive sweatshirt.
579,Dark grayish olive,iron,The iron is Dark grayish olive.
580,Dark grayish olive,umbrella,"A umbrella, and it's Dark grayish olive."
581,Dark grayish olive,papaya,An image of a Dark grayish olive papaya.
582,Dark grayish olive,bus,A Dark grayish olive colored bus.
583,Dark grayish olive,snowboard,A snowboard rendered in Dark grayish olive color.
584,Dark grayish olive,candle,A realistic candle in Dark grayish olive.
585,Dark grayish olive,socks,A single Dark grayish olive socks.
586,Dark grayish olive,boxing glove,A boxing glove with a Dark grayish olive color.
587,Dark grayish olive,minivan,The minivan is Dark grayish olive.
588,Dark grayish olive,guava,A Dark grayish olive colored guava.
589,Dark grayish olive,fan,A fan with a Dark grayish olive color.
590,Dark grayish olive,duck,A duck in a Dark grayish olive color.
591,Dark grayish olive,apple,A single Dark grayish olive apple.
592,Dark grayish olive,football helmet,A Dark grayish olive colored football helmet.
593,Dark grayish olive,vehicle,A vehicle with a Dark grayish olive color.
594,Dark grayish olive,teapot,A realistic teapot in Dark grayish olive.
595,Dark grayish olive,skateboard,"A skateboard, and it's Dark grayish olive."
596,Dark grayish olive,microwave,A microwave in a Dark grayish olive color.
597,Dark grayish olive,bear,A Dark grayish olive bear.
598,Dark grayish olive,orange,A orange rendered in Dark grayish olive color.
599,Dark grayish olive,pants,The pants is Dark grayish olive.
600,Dark grayish olive,wardrobe,A wardrobe that is entirely Dark grayish olive.
601,Light olive gray,boxing glove,A boxing glove rendered in Light olive gray color.
602,Light olive gray,iron,A iron with a Light olive gray color.
603,Light olive gray,microwave,A microwave that is entirely Light olive gray.
604,Light olive gray,umbrella,"A umbrella, and it's Light olive gray."
605,Light olive gray,banana,A banana rendered in Light olive gray color.
606,Light olive gray,wardrobe,A photo of a Light olive gray wardrobe.
607,Light olive gray,couch,A couch that is entirely Light olive gray.
608,Light olive gray,football helmet,"A football helmet, and it's Light olive gray."
609,Light olive gray,teapot,A teapot with a Light olive gray color.
610,Light olive gray,bear,An image of a Light olive gray bear.
611,Light olive gray,oven,"A oven, and it's Light olive gray."
612,Light olive gray,vehicle,An image of a Light olive gray vehicle.
613,Light olive gray,bus,A bus with a Light olive gray color.
614,Light olive gray,remote,A Light olive gray remote.
615,Light olive gray,orange,"A orange, and it's Light olive gray."
616,Light olive gray,elephant,An image of a Light olive gray elephant.
617,Light olive gray,cow,A cow with a Light olive gray color.
618,Light olive gray,desk,A desk in a Light olive gray color.
619,Light olive gray,suitcase,A photo of a Light olive gray suitcase.
620,Light olive gray,apple,The apple is Light olive gray.
621,Light olive gray,clock,"A clock, and it's Light olive gray."
622,Light olive gray,skateboard,A Light olive gray colored skateboard.
623,Light olive gray,fan,A fan rendered in Light olive gray color.
624,Light olive gray,sponge,An image of a Light olive gray sponge.
625,Light olive gray,minivan,A minivan with a Light olive gray color.
626,Light olive gray,snowboard,A single Light olive gray snowboard.
627,Light olive gray,crocodile,A realistic crocodile in Light olive gray.
628,Light olive gray,jeans,An image of a Light olive gray jeans.
629,Light olive gray,duck,"A duck, and it's Light olive gray."
630,Light olive gray,tie,An image of a Light olive gray tie.
631,Vivid yellow green,tie,A tie rendered in Vivid yellow green color.
632,Vivid yellow green,mango,An image of a Vivid yellow green mango.
633,Vivid yellow green,candle,A candle with a Vivid yellow green color.
634,Vivid yellow green,couch,A realistic couch in Vivid yellow green.
635,Vivid yellow green,sports ball,A sports ball with a Vivid yellow green color.
636,Vivid yellow green,sponge,A sponge with a Vivid yellow green color.
637,Vivid yellow green,sweatshirt,A photo of a Vivid yellow green sweatshirt.
638,Vivid yellow green,sports car,A sports car with a Vivid yellow green color.
639,Vivid yellow green,football helmet,The football helmet is Vivid yellow green.
640,Vivid yellow green,microwave,A microwave with a Vivid yellow green color.
641,Vivid yellow green,socks,A socks with a Vivid yellow green color.
642,Vivid yellow green,vehicle,A Vivid yellow green vehicle.
643,Vivid yellow green,guava,An image of a Vivid yellow green guava.
644,Vivid yellow green,baseball bat,"A baseball bat, and it's Vivid yellow green."
645,Vivid yellow green,bicycle,A Vivid yellow green bicycle.
646,Vivid yellow green,jeans,A jeans rendered in Vivid yellow green color.
647,Vivid yellow green,wardrobe,A Vivid yellow green colored wardrobe.
648,Vivid yellow green,minivan,A realistic minivan in Vivid yellow green.
649,Vivid yellow green,boxing glove,A photo of a Vivid yellow green boxing glove.
650,Vivid yellow green,taxi,The taxi is Vivid yellow green.
651,Vivid yellow green,parrot,An image of a Vivid yellow green parrot.
652,Vivid yellow green,oven,A Vivid yellow green colored oven.
653,Vivid yellow green,papaya,A realistic papaya in Vivid yellow green.
654,Vivid yellow green,snowboard,A single Vivid yellow green snowboard.
655,Vivid yellow green,elephant,A photo of a Vivid yellow green elephant.
656,Vivid yellow green,clock,A clock that is entirely Vivid yellow green.
657,Vivid yellow green,desk,A photo of a Vivid yellow green desk.
658,Vivid yellow green,cow,A cow in a Vivid yellow green color.
659,Vivid yellow green,remote,A Vivid yellow green colored remote.
660,Vivid yellow green,ruler,A ruler in a Vivid yellow green color.
661,Deep yellow green,crocodile,A crocodile with a Deep yellow green color.
662,Deep yellow green,baseball bat,A baseball bat that is entirely Deep yellow green.
663,Deep yellow green,bear,"A bear, and it's Deep yellow green."
664,Deep yellow green,skateboard,A Deep yellow green skateboard.
665,Deep yellow green,candle,A candle rendered in Deep yellow green color.
666,Deep yellow green,microwave,A microwave in a Deep yellow green color.
667,Deep yellow green,minivan,A Deep yellow green colored minivan.
668,Deep yellow green,clock,A clock rendered in Deep yellow green color.
669,Deep yellow green,desk,A desk that is entirely Deep yellow green.
670,Deep yellow green,apple,A apple with a Deep yellow green color.
671,Deep yellow green,elephant,The elephant is Deep yellow green.
672,Deep yellow green,umbrella,A umbrella with a Deep yellow green color.
673,Deep yellow green,guava,"A guava, and it's Deep yellow green."
674,Deep yellow green,taxi,A realistic taxi in Deep yellow green.
675,Deep yellow green,banana,An image of a Deep yellow green banana.
676,Deep yellow green,duck,A duck with a Deep yellow green color.
677,Deep yellow green,tie,A single Deep yellow green tie.
678,Deep yellow green,bicycle,The bicycle is Deep yellow green.
679,Deep yellow green,chair,A photo of a Deep yellow green chair.
680,Deep yellow green,sponge,A Deep yellow green sponge.
681,Deep yellow green,orange,A Deep yellow green orange.
682,Deep yellow green,parrot,An image of a Deep yellow green parrot.
683,Deep yellow green,cow,"A cow, and it's Deep yellow green."
684,Deep yellow green,football helmet,The football helmet is Deep yellow green.
685,Deep yellow green,sports car,The sports car is Deep yellow green.
686,Deep yellow green,wardrobe,A wardrobe that is entirely Deep yellow green.
687,Deep yellow green,boxing glove,A boxing glove in a Deep yellow green color.
688,Deep yellow green,socks,A photo of a Deep yellow green socks.
689,Deep yellow green,fan,A single Deep yellow green fan.
690,Deep yellow green,snowboard,"A snowboard, and it's Deep yellow green."
691,Light yellow green,taxi,"A taxi, and it's Light yellow green."
692,Light yellow green,ruler,The ruler is Light yellow green.
693,Light yellow green,parrot,A parrot with a Light yellow green color.
694,Light yellow green,papaya,A papaya that is entirely Light yellow green.
695,Light yellow green,socks,A socks with a Light yellow green color.
696,Light yellow green,elephant,A elephant with a Light yellow green color.
697,Light yellow green,sponge,A sponge rendered in Light yellow green color.
698,Light yellow green,couch,A Light yellow green couch.
699,Light yellow green,mug,A Light yellow green mug.
700,Light yellow green,football helmet,A Light yellow green colored football helmet.
701,Light yellow green,baseball bat,A baseball bat that is entirely Light yellow green.
702,Light yellow green,bus,A photo of a Light yellow green bus.
703,Light yellow green,fan,A fan rendered in Light yellow green color.
704,Light yellow green,suitcase,A suitcase that is entirely Light yellow green.
705,Light yellow green,teapot,The teapot is Light yellow green.
706,Light yellow green,umbrella,A umbrella in a Light yellow green color.
707,Light yellow green,clock,A clock that is entirely Light yellow green.
708,Light yellow green,wardrobe,A wardrobe rendered in Light yellow green color.
709,Light yellow green,cow,A cow that is entirely Light yellow green.
710,Light yellow green,orange,A orange that is entirely Light yellow green.
711,Light yellow green,minivan,A Light yellow green colored minivan.
712,Light yellow green,snowboard,A photo of a Light yellow green snowboard.
713,Light yellow green,jeans,A jeans rendered in Light yellow green color.
714,Light yellow green,remote,A Light yellow green remote.
715,Light yellow green,mango,An image of a Light yellow green mango.
716,Light yellow green,vehicle,A photo of a Light yellow green vehicle.
717,Light yellow green,tie,A photo of a Light yellow green tie.
718,Light yellow green,chair,A chair in a Light yellow green color.
719,Light yellow green,pants,An image of a Light yellow green pants.
720,Light yellow green,sweatshirt,A photo of a Light yellow green sweatshirt.
721,Grayish yellow green,clock,A realistic clock in Grayish yellow green.
722,Grayish yellow green,ruler,A ruler with a Grayish yellow green color.
723,Grayish yellow green,vehicle,A vehicle in a Grayish yellow green color.
724,Grayish yellow green,chair,An image of a Grayish yellow green chair.
725,Grayish yellow green,bicycle,"A bicycle, and it's Grayish yellow green."
726,Grayish yellow green,sports car,A sports car with a Grayish yellow green color.
727,Grayish yellow green,sports ball,A Grayish yellow green sports ball.
728,Grayish yellow green,socks,A Grayish yellow green socks.
729,Grayish yellow green,remote,"A remote, and it's Grayish yellow green."
730,Grayish yellow green,iron,A single Grayish yellow green iron.
731,Grayish yellow green,cow,A single Grayish yellow green cow.
732,Grayish yellow green,skateboard,A skateboard with a Grayish yellow green color.
733,Grayish yellow green,orange,The orange is Grayish yellow green.
734,Grayish yellow green,sponge,"A sponge, and it's Grayish yellow green."
735,Grayish yellow green,papaya,A realistic papaya in Grayish yellow green.
736,Grayish yellow green,parrot,"A parrot, and it's Grayish yellow green."
737,Grayish yellow green,duck,The duck is Grayish yellow green.
738,Grayish yellow green,taxi,The taxi is Grayish yellow green.
739,Grayish yellow green,bus,A Grayish yellow green colored bus.
740,Grayish yellow green,football helmet,A football helmet rendered in Grayish yellow green color.
741,Grayish yellow green,umbrella,A photo of a Grayish yellow green umbrella.
742,Grayish yellow green,mango,The mango is Grayish yellow green.
743,Grayish yellow green,jeans,A photo of a Grayish yellow green jeans.
744,Grayish yellow green,candle,An image of a Grayish yellow green candle.
745,Grayish yellow green,microwave,A microwave rendered in Grayish yellow green color.
746,Grayish yellow green,desk,A desk with a Grayish yellow green color.
747,Grayish yellow green,guava,A guava rendered in Grayish yellow green color.
748,Grayish yellow green,boxing glove,A boxing glove in a Grayish yellow green color.
749,Grayish yellow green,fan,A realistic fan in Grayish yellow green.
750,Grayish yellow green,sweatshirt,A Grayish yellow green colored sweatshirt.
751,Strong olive green,mango,The mango is Strong olive green.
752,Strong olive green,pants,The pants is Strong olive green.
753,Strong olive green,duck,The duck is Strong olive green.
754,Strong olive green,microwave,The microwave is Strong olive green.
755,Strong olive green,desk,A single Strong olive green desk.
756,Strong olive green,crocodile,The crocodile is Strong olive green.
757,Strong olive green,sponge,A realistic sponge in Strong olive green.
758,Strong olive green,wardrobe,A realistic wardrobe in Strong olive green.
759,Strong olive green,couch,A Strong olive green colored couch.
760,Strong olive green,clock,A photo of a Strong olive green clock.
761,Strong olive green,jeans,A jeans in a Strong olive green color.
762,Strong olive green,suitcase,A Strong olive green suitcase.
763,Strong olive green,football helmet,A football helmet rendered in Strong olive green color.
764,Strong olive green,teapot,A teapot in a Strong olive green color.
765,Strong olive green,umbrella,A umbrella in a Strong olive green color.
766,Strong olive green,parrot,A Strong olive green colored parrot.
767,Strong olive green,bear,A bear with a Strong olive green color.
768,Strong olive green,papaya,The papaya is Strong olive green.
769,Strong olive green,mug,A single Strong olive green mug.
770,Strong olive green,tie,A Strong olive green colored tie.
771,Strong olive green,candle,A candle with a Strong olive green color.
772,Strong olive green,taxi,A single Strong olive green taxi.
773,Strong olive green,orange,A realistic orange in Strong olive green.
774,Strong olive green,snowboard,A Strong olive green snowboard.
775,Strong olive green,guava,An image of a Strong olive green guava.
776,Strong olive green,sports car,A sports car rendered in Strong olive green color.
777,Strong olive green,chair,An image of a Strong olive green chair.
778,Strong olive green,cow,A Strong olive green colored cow.
779,Strong olive green,apple,The apple is Strong olive green.
780,Strong olive green,sports ball,A sports ball rendered in Strong olive green color.
781,Deep yellowish green,crocodile,A crocodile rendered in Deep yellowish green color.
782,Deep yellowish green,suitcase,A suitcase with a Deep yellowish green color.
783,Deep yellowish green,elephant,A single Deep yellowish green elephant.
784,Deep yellowish green,ruler,The ruler is Deep yellowish green.
785,Deep yellowish green,candle,A photo of a Deep yellowish green candle.
786,Deep yellowish green,umbrella,A realistic umbrella in Deep yellowish green.
787,Deep yellowish green,couch,A couch with a Deep yellowish green color.
788,Deep yellowish green,sports car,A Deep yellowish green sports car.
789,Deep yellowish green,jeans,The jeans is Deep yellowish green.
790,Deep yellowish green,taxi,A realistic taxi in Deep yellowish green.
791,Deep yellowish green,clock,A clock in a Deep yellowish green color.
792,Deep yellowish green,baseball bat,A baseball bat that is entirely Deep yellowish green.
793,Deep yellowish green,boxing glove,A single Deep yellowish green boxing glove.
794,Deep yellowish green,wardrobe,A single Deep yellowish green wardrobe.
795,Deep yellowish green,vehicle,"A vehicle, and it's Deep yellowish green."
796,Deep yellowish green,oven,A Deep yellowish green colored oven.
797,Deep yellowish green,desk,A photo of a Deep yellowish green desk.
798,Deep yellowish green,minivan,A Deep yellowish green colored minivan.
799,Deep yellowish green,papaya,An image of a Deep yellowish green papaya.
800,Deep yellowish green,pants,A realistic pants in Deep yellowish green.
801,Deep yellowish green,chair,A Deep yellowish green colored chair.
802,Deep yellowish green,bicycle,A bicycle rendered in Deep yellowish green color.
803,Deep yellowish green,banana,A banana rendered in Deep yellowish green color.
804,Deep yellowish green,guava,The guava is Deep yellowish green.
805,Deep yellowish green,iron,A Deep yellowish green iron.
806,Deep yellowish green,bear,A photo of a Deep yellowish green bear.
807,Deep yellowish green,cow,A photo of a Deep yellowish green cow.
808,Deep yellowish green,mango,A mango rendered in Deep yellowish green color.
809,Deep yellowish green,sweatshirt,A Deep yellowish green sweatshirt.
810,Deep yellowish green,apple,A apple with a Deep yellowish green color.
811,Vivid green,banana,An image of a Vivid green banana.
812,Vivid green,baseball bat,A baseball bat that is entirely Vivid green.
813,Vivid green,teapot,A photo of a Vivid green teapot.
814,Vivid green,ruler,An image of a Vivid green ruler.
815,Vivid green,wardrobe,An image of a Vivid green wardrobe.
816,Vivid green,mug,A Vivid green colored mug.
817,Vivid green,pants,The pants is Vivid green.
818,Vivid green,iron,A Vivid green iron.
819,Vivid green,papaya,"A papaya, and it's Vivid green."
820,Vivid green,sponge,A realistic sponge in Vivid green.
821,Vivid green,suitcase,A single Vivid green suitcase.
822,Vivid green,crocodile,A photo of a Vivid green crocodile.
823,Vivid green,clock,A photo of a Vivid green clock.
824,Vivid green,sports car,A single Vivid green sports car.
825,Vivid green,snowboard,A snowboard in a Vivid green color.
826,Vivid green,orange,A realistic orange in Vivid green.
827,Vivid green,elephant,A elephant that is entirely Vivid green.
828,Vivid green,minivan,A minivan in a Vivid green color.
829,Vivid green,football helmet,A football helmet in a Vivid green color.
830,Vivid green,microwave,A microwave with a Vivid green color.
831,Vivid green,sports ball,A Vivid green colored sports ball.
832,Vivid green,skateboard,The skateboard is Vivid green.
833,Vivid green,boxing glove,A single Vivid green boxing glove.
834,Vivid green,desk,A realistic desk in Vivid green.
835,Vivid green,vehicle,A Vivid green vehicle.
836,Vivid green,duck,A single Vivid green duck.
837,Vivid green,tie,A Vivid green tie.
838,Vivid green,taxi,"A taxi, and it's Vivid green."
839,Vivid green,bicycle,The bicycle is Vivid green.
840,Vivid green,couch,A Vivid green colored couch.
841,Light green,sweatshirt,The sweatshirt is Light green.
842,Light green,wardrobe,A wardrobe in a Light green color.
843,Light green,fan,A fan with a Light green color.
844,Light green,guava,The guava is Light green.
845,Light green,boxing glove,A boxing glove in a Light green color.
846,Light green,papaya,A papaya in a Light green color.
847,Light green,microwave,A microwave that is entirely Light green.
848,Light green,clock,A Light green colored clock.
849,Light green,ruler,A Light green colored ruler.
850,Light green,vehicle,A realistic vehicle in Light green.
851,Light green,remote,A remote with a Light green color.
852,Light green,bear,A photo of a Light green bear.
853,Light green,desk,A desk that is entirely Light green.
854,Light green,taxi,The taxi is Light green.
855,Light green,banana,A photo of a Light green banana.
856,Light green,suitcase,An image of a Light green suitcase.
857,Light green,sponge,A sponge that is entirely Light green.
858,Light green,orange,A photo of a Light green orange.
859,Light green,pants,A pants rendered in Light green color.
860,Light green,candle,A photo of a Light green candle.
861,Light green,football helmet,A football helmet with a Light green color.
862,Light green,tie,The tie is Light green.
863,Light green,skateboard,A photo of a Light green skateboard.
864,Light green,bus,A bus with a Light green color.
865,Light green,mango,"A mango, and it's Light green."
866,Light green,elephant,"A elephant, and it's Light green."
867,Light green,parrot,A parrot rendered in Light green color.
868,Light green,duck,A duck rendered in Light green color.
869,Light green,oven,"A oven, and it's Light green."
870,Light green,mug,A mug with a Light green color.
871,Grayish green,sweatshirt,A sweatshirt rendered in Grayish green color.
872,Grayish green,snowboard,A snowboard in a Grayish green color.
873,Grayish green,boxing glove,A realistic boxing glove in Grayish green.
874,Grayish green,football helmet,A Grayish green football helmet.
875,Grayish green,remote,"A remote, and it's Grayish green."
876,Grayish green,iron,A iron rendered in Grayish green color.
877,Grayish green,sponge,A sponge with a Grayish green color.
878,Grayish green,elephant,A elephant that is entirely Grayish green.
879,Grayish green,teapot,A Grayish green colored teapot.
880,Grayish green,apple,A apple rendered in Grayish green color.
881,Grayish green,candle,"A candle, and it's Grayish green."
882,Grayish green,socks,A socks in a Grayish green color.
883,Grayish green,oven,A photo of a Grayish green oven.
884,Grayish green,baseball bat,A Grayish green baseball bat.
885,Grayish green,orange,"A orange, and it's Grayish green."
886,Grayish green,cow,The cow is Grayish green.
887,Grayish green,skateboard,A Grayish green colored skateboard.
888,Grayish green,bus,A realistic bus in Grayish green.
889,Grayish green,pants,The pants is Grayish green.
890,Grayish green,umbrella,A umbrella in a Grayish green color.
891,Grayish green,papaya,A papaya with a Grayish green color.
892,Grayish green,vehicle,A photo of a Grayish green vehicle.
893,Grayish green,mango,A Grayish green mango.
894,Grayish green,jeans,A jeans that is entirely Grayish green.
895,Grayish green,wardrobe,A realistic wardrobe in Grayish green.
896,Grayish green,parrot,"A parrot, and it's Grayish green."
897,Grayish green,ruler,"A ruler, and it's Grayish green."
898,Grayish green,desk,A desk in a Grayish green color.
899,Grayish green,tie,A tie in a Grayish green color.
900,Grayish green,guava,A guava rendered in Grayish green color.
901,Vivid blue,bear,A bear rendered in Vivid blue color.
902,Vivid blue,taxi,A realistic taxi in Vivid blue.
903,Vivid blue,sponge,The sponge is Vivid blue.
904,Vivid blue,microwave,An image of a Vivid blue microwave.
905,Vivid blue,mango,A mango in a Vivid blue color.
906,Vivid blue,papaya,A single Vivid blue papaya.
907,Vivid blue,minivan,A minivan with a Vivid blue color.
908,Vivid blue,pants,A Vivid blue colored pants.
909,Vivid blue,orange,A photo of a Vivid blue orange.
910,Vivid blue,football helmet,A football helmet with a Vivid blue color.
911,Vivid blue,apple,A realistic apple in Vivid blue.
912,Vivid blue,sweatshirt,A realistic sweatshirt in Vivid blue.
913,Vivid blue,couch,A couch with a Vivid blue color.
914,Vivid blue,snowboard,A snowboard in a Vivid blue color.
915,Vivid blue,ruler,The ruler is Vivid blue.
916,Vivid blue,chair,A chair with a Vivid blue color.
917,Vivid blue,iron,A iron with a Vivid blue color.
918,Vivid blue,wardrobe,A single Vivid blue wardrobe.
919,Vivid blue,parrot,A parrot in a Vivid blue color.
920,Vivid blue,oven,A Vivid blue colored oven.
921,Vivid blue,jeans,A Vivid blue jeans.
922,Vivid blue,fan,A Vivid blue colored fan.
923,Vivid blue,bus,An image of a Vivid blue bus.
924,Vivid blue,mug,A photo of a Vivid blue mug.
925,Vivid blue,teapot,A teapot that is entirely Vivid blue.
926,Vivid blue,guava,A Vivid blue colored guava.
927,Vivid blue,cow,"A cow, and it's Vivid blue."
928,Vivid blue,elephant,A elephant that is entirely Vivid blue.
929,Vivid blue,tie,A tie that is entirely Vivid blue.
930,Vivid blue,remote,A photo of a Vivid blue remote.
931,Deep blue,elephant,An image of a Deep blue elephant.
932,Deep blue,apple,"A apple, and it's Deep blue."
